commit_date,commit_date_time,commit_id,commit_message,commit_files,keep,filetype
2020-4-1,2020-4-1 16:35,097cbd70aa00eb635b17b177bc4546b2fce21895,"Added tests-by-zcta.csv

Added cumulative tests by ZCTA data, and updated Readme with notes.
",.DS_Store;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,False,zcta
2020-4-1,2020-4-1 18:58,0fbbd5cf287750b09347c36e826fed2e234f0521,"Update README.md

Clarified ZIP of residence for tests by ZIP data.
",.DS_Store;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,False,zcta
2020-4-1,2020-4-1 21:31,dd2010c7a0757e0094b72edc7eac6d552aa00207,"Update with 4/1 data

Boro.csv file modified to include case counts as well as rates.
",.DS_Store;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,,zcta
2020-4-2,2020-4-2 22:09,8562fab90b05605ef6293d60a9f2251937e5f5d7,"Added data for 4/2 update
",.DS_Store;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,,zcta
2020-4-3,2020-4-3 12:09,10efdd3db1aedbd6a53e32afe1573533ce3beb9f,Delete .DS_Store,README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,False,zcta
2020-4-3,2020-4-3 22:15,24fab60efbf4c22ca3e7dcc1c97427e34ddaca54,"Updated with 4/3 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,False,zcta
2020-4-3,2020-4-3 22:56,0074809280d3f9ae0bd09ca62629fb21243ffc72,"Update tests-by-zcta

4/3 update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;testing.csv;tests-by-zcta.csv,False,zcta
2020-4-3,2020-4-3 23:45,a65700c27ec81be71833f675e8e0fed4c37000f9,"Delete testing.csv

Testing data will be on NYC Open Data going forward.
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-4,2020-4-4 22:32,0ae531d56696b7dfa01d1d1ad6286d7ae03350c7,"Updated with 4/4 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-5,2020-4-5 21:30,98a7fd1c5eccdae11d604dd98b2c4a2eafef059b,"Updated with 4/5 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-6,2020-4-6 22:05,8cb25d611800b21a703770669606a72daa54e385,"Added 4/6 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-7,2020-4-7 21:52,70904c376468567e3a2b922cc3ad1b8b854ed682,"Updated with 4/7 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-7,2020-4-7 22:35,55495966af131723fdbd1a4357c1f84adea03982,"Updated with 4/7 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-8,2020-4-8 22:03,e19db289166f73282d39dfcef0d47a324d654c07,"Updated all files with 4/8 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-9,2020-4-9 21:31,e1f1d9a63fac772e26a45220d3c8199a75938656,"Updated data for 4/9
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-10,2020-4-10 21:41,3fdd59a195bff5c4473a2086093ed656702d6569,"Update with data from 4/10
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-11,2020-4-11 21:36,8542fbf18049d804eb8de7594123c13e533d1a42,"Updated with 4/11 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-12,2020-4-12 22:22,d34e6aab1e0dd0e0125e74519489e7893d33c9dd,"Updated with data as of 4/12
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-13,2020-4-13 18:04,aa9a8facdf299b83ae97458dc9c55452b9ec1f53,"Updating data for 4/13
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-13,2020-4-13 21:55,1dc35df3a8d1c19587cf2cfe72567594ae079650,"Update tests-by-zcta for 4/13
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-14,2020-4-14 19:46,8e4627dd2f00d1de53355b01c8a9476d1c381b70,"Updated data as of 4/14
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-14,2020-4-14 21:13,b2104e26d781f6ebf4eff31afcd93cce887ff79b,"Update tests-by-zcta for 4/14
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-15,2020-4-15 17:45,165e694647d8319d7dc5cec6abc7d70cfc03c1ec,"Update with data for 4/15
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-15,2020-4-15 19:13,6c9e9954c58ddf7556fe52937c487af29bf6ceb4,"Update tests-by-zcta for 4/15
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-15,2020-4-15 21:09,0edd1865932520356f85e840d08dc58e621ba8e9,"Update summary.csv
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-16,2020-4-16 13:58,4f72feb664378246ca22a9b90ceac5f2580754a2,"Update case-hosp-death.csv

Fixing header label issue.
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-16,2020-4-16 18:24,86e9f032ba7fe1a6c61591cfc2413f23b7aa387b,"Updated data 4/16
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-16,2020-4-16 18:28,b08d47482771bd35b3f25106dfc076e0a2649d29,"Update tests-by-zcta 4/16
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-17,2020-4-17 18:26,21916256325a11aae77bbe69029085f43592f2d1,"Update 4/17
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-18,2020-4-18 17:48,d3a8994716870cfdbd6cc2fb356c31588446fc25,"Updated 4/18
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-18,2020-4-18 20:00,aae7a6e40b8b07bc3a1b776cbd19bd343d072364,"Added probable-confirmed-dod.csv

Added data on probable covid-19 deaths by date of death, and updated Readme to include information on this new file.
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-19,2020-4-19 17:25,498c34f8534bc865b15dd09e9b560bd457ef5b9b,"Updated 4/19
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-20,2020-4-20 18:30,0a74f0850087758da3579886ae8b7365e182ed9e,"Updated for 4/20
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-21,2020-4-21 16:57,bbbb0f31f7a6f62b64012e8c0c5cb2d3495e6670,"Updated data 4/21
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-22,2020-4-22 18:28,9147df02c9f9c8eab00719ffeec242088a666203,"Update with 4/22 data
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-23,2020-4-23 17:14,93c29d8395f89d5d0eff39e1a9dcba69c820b33f,"4/23 data update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-24,2020-4-24 18:28,8f4cd591c65b11c23bc3ebae25f523df5da6ceb6,"4/24 data update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
